,description,account
130,Security And Monitoring Assets Access control systems Door controllers ,Div40_Plant_5
131,Security And Monitoring Assets Access control systems Readers  Proximity,Div40_Plant_7
132,Security And Monitoring Assets Access control systems Readers  Swipe card,Div40_Plant_3
133,Security And Monitoring Assets Ballistic and blast resistant screens and barriers (including fixed and rising types) not forming part of the building  ,Div40_Plant_20
134,Security And Monitoring Assets Closed circuit television systems Cameras ,Div40_Plant_4
135,Security And Monitoring Assets Closed circuit television systems Monitors ,Div40_Plant_4
136,Security And Monitoring Assets Closed circuit television systems Recorders  Digital,Div40_Plant_4
137,Security And Monitoring Assets Closed circuit television systems Recorders  Time lapse,Div40_Plant_2
138,Security And Monitoring Assets Closed circuit television systems Switching units (including multiplexers) ,Div40_Plant_5
139,Security And Monitoring Assets Security systems Code pads ,Div40_Plant_5
140,Security And Monitoring Assets Security systems Control panels ,Div40_Plant_5
141,"Security And Monitoring Assets Security systems Detectors (including glass, passive infra-red and vibration) ",Div40_Plant_5
142,Security And Monitoring Assets Security systems Global system for mobiles (GSM) units ,Div40_Plant_5
143,Security And Monitoring Assets Security systems Noise maker (including alarms and bells) ,Div40_Plant_5
144,"Silos Bulk handling Ancillary mechanical assets (including augers, bucket elevators, conveyors etc) ",Div40_Plant_15
145,Silos Bulk handling Concrete construction ,Div40_Plant_50
146,Silos Bulk handling Galvanised construction ,Div40_Plant_30
147,Silos Bulk handling Steel construction ,Div40_Plant_40
148,Solar Power Systems   ,Div40_Plant_20
149,Exhaust/Chimney Stacks Concrete stacks (including concrete reinforced stacks)  ,Div40_Plant_30
150,Exhaust/Chimney Stacks Flare stacks  ,Div40_Plant_25
151,Exhaust/Chimney Stacks Reinforced plastic stacks  ,Div40_Plant_25
152,Exhaust/Chimney Stacks Steel stacks (steel flues)  ,Div40_Plant_20
153,Swimming Pool Assets Chlorinators  ,Div40_Plant_12
154,Swimming Pool Assets Cleaning assets  ,Div40_Plant_7
155,Swimming Pool Assets Filtration assets (including pumps)  ,Div40_Plant_12
156,Swimming Pool Assets Heaters Electric ,Div40_Plant_15
157,Swimming Pool Assets Heaters Gas ,Div40_Plant_15
158,Swimming Pool Assets Heaters Solar ,Div40_Plant_20
159,Swimming Pool Assets Above-ground Pool  ,Div40_Plant_10
160,Swimming Pool Assets Concrete Pool  ,Div40_Plant_50
161,Swimming Pool Assets Fibreglass Pool  ,Div40_Plant_20
162,Switchboards   ,Div40_Plant_20
163,Synthetic Lawn Surfaces   ,Div40_Plant_5
164,Tarpaulins   ,Div40_Plant_5
165,"Telephones Telephone systems (including analogue and digital telephone systems, PABX/PBX systems, key/commander systems, VoIP systems and hybrid telephone systems such as IP-PBX systems etc)  ",Div40_Plant_7
166,Television Sets   ,Div40_Plant_10
167,Two-Way Radios Base stations  ,Div40_Plant_6
168,Two-Way Radios Mobile units  ,Div40_Plant_6
169,Two-Way Radios Portable units  ,Div40_Plant_3
170,Two-Way Radios Repeaters  ,Div40_Plant_7
171,Vending Machines   ,Div40_Plant_5
172,Ventilation Fans   ,Div40_Plant_20
173,Waste Storage And Disposal Bins   ,Div40_Plant_10
174,Bollards   ,Div43_Building_40
175,Integral_Structure_Non_Residential_'A'.__Div_10D_Building_Allowance_items   ,Div43_Building_40
176,Asphalt Repairs   ,Deductible_1
177,Diesel Fuel   ,Deductible_1
178,Environmental_Protection_Works_-_Asbestos_removal   ,Deductible_1
179,Final Cleaning   ,Deductible_1
180,Insurance   ,Deductible_1
181,Leasing_Brochures   ,Deductible_1
182,Line Marking   ,Deductible_1
183,Make_Good   ,Deductible_1
184,Media_Advertising   ,Deductible_1
185,On_Site_Security_(Security_guards)   ,Deductible_1
186,Photography   ,Deductible_1
187,Plan_Photocopying   ,Deductible_1
188,Promotional_Brochures   ,Deductible_1
189,Public_Relations   ,Deductible_1
190,Re-Painting   ,Deductible_1
191,Repairs & Maintenance   ,Deductible_1
192,Travelling_Expenses   ,Deductible_1
193,Demolition_   ,CGT_Cost_Base_0
194,Carpets used in commercial office buildings   ,Div40_Plant_8
195,Lighting plant (electric)   ,Div40_Plant_20
196,Lighting plant (fluorescent)   ,Div40_Plant_20
197,Window blinds used in commercial buildings   ,Div40_Plant_20
198,Building maintenance units   ,Div40_Plant_35
199,Building management control systems   ,Div40_Plant_15
200,"Small kitchen appliances (e.g. microwave, dishwasher)   ",Div40_Plant_7
201,Site preparation costs   ,CGT_Cost_Base_0
202,Protection cage-roof ladders   ,Div40_Plant_10
203,People counter system   ,Div40_Plant_5
204,Fixed floor/wall tiles (not removable without damage)   ,Div43_Building_40
205,Gardening water installations   ,Div40_Plant_5
206,"Irremovable garden landscaping (e.g. slabs, paving, walls)   ",Div43_Building_40
207,Soft landscaping  (e.g. planting)   ,Deductible_1
208,stamp duty,CGT_Cost_Base_0
209,duty,CGT_Cost_Base_0
210,duties,CGT_Cost_Base_0
211,stamps duties,CGT_Cost_Base_0
212,stamping,CGT_Cost_Base_0
213,landscaping general,CGT_Cost_Base_0
214,landscaping,CGT_Cost_Base_0
